"item_code","diamond_no","item_title","item_1","item_2","item_3","item_4","item_5","item_6"
1,"OCT108124J ","DAY EARLY DELIVERY COMPLIANCE FUND (NET)",4.00,4.0000,4.00,700,0,""
1,"DEC189016J ","2019 MEGACON COMIC BROCHURE #1 (NET)",.00,.0000,.00,13,1,""
15,"FEB190472D ","ADVENTURES OF THE SUPER SONS #9 (OF 12)",3.99,1.7955,26.93,1,1,"DC COMICS"
4,"FEB190910D ","AGE OF X-MAN PRISONER X #2 (OF 5)",3.99,1.7955,7.18,1,1,"MARVEL COMICS"
5,"FEB190832D ","AMAZING SPIDER-MAN #18.HU",3.99,1.7955,8.98,1,1,"MARVEL COMICS"
1,"FEB191349E ","ANIMOSITY TP VOL 04 WALLED CITY",14.99,7.4950,7.50,3,1,"AFTERSHOCK COMICS"
1,"DEC180730E ","ATOMIC ROBO & DAWN OF NEW ERA #4 (OF 5) CVR A WEGENER",3.99,1.9950,2.00,1,1,"IDW PUBLISHING"
1,"JAN191124D ","AVENGERS ASSEMBLE GN TP LIVING LEGENDS",9.99,4.4955,4.50,3,1,"MARVEL COMICS"
8,"FEB190790D ","AVENGERS NO ROAD HOME #8 (OF 10)",3.99,1.7955,14.36,1,1,"MARVEL COMICS"
2,"FEB190791D ","AVENGERS NO ROAD HOME #8 (OF 10) SCALERA CONNECTING VAR",3.99,1.7955,3.59,1,1,"MARVEL COMICS"
3,"JAN199121J ","AVENGERS START HERE SAMPLER 2019 (BUNDLE OF 25) (NET)",5.00,.0000,.00,13,3,""
1,"JAN191119D ","AVENGERS WORLD TP COMPLETE COLLECTION",39.99,17.9955,18.00,3,1,"MARVEL COMICS"
2,"JAN190661D ","BATMAN DETECTIVE COMICS TP VOL 09 DEFACE THE FACE",16.99,7.6455,15.29,3,1,"DC COMICS"
1,"DEC188869J ","BATTLECATS 2019 SNEAK PREVIEW (NET)",.00,.0000,.00,13,1,""
5,"FEB190328D ","BLACK HAMMER 45 FROM WORLD OF BLACK HAMMER #2 CVR A KINDT",3.99,1.9950,9.98,1,1,"DARK HORSE COMICS"
3,"FEB190329D ","BLACK HAMMER 45 FROM WORLD OF BLACK HAMMER #2 CVR B FABRY",3.99,1.9950,5.99,1,1,"DARK HORSE COMICS"
2,"FEB191352F ","BRONZE AGE BOOGIE #1",3.99,.0000,.00,1,3,"AHOY COMICS"
16,"JAN190973D ","CAPTAIN AMERICA #9",3.99,1.7955,28.73,1,1,"MARVEL COMICS"
4,"JAN190974D ","CAPTAIN AMERICA #9 FERRY SPIDER-MAN VILLAINS VAR",3.99,1.7955,7.18,1,1,"MARVEL COMICS"
3,"FEB190847D ","CHAMPIONS #4",3.99,1.7955,5.39,1,1,"MARVEL COMICS"
1,"MAR180001J ","COMIC SHOP LOCATOR SERVICE REGULAR MONTHLY 2018 (NET)",5.00,5.0000,5.00,14,5,""
1,"JAN191081D ","CONAN CHRONICLES EPIC COLLECTION TP HEART YAG-KOSHA",39.99,17.9955,18.00,3,1,"MARVEL COMICS"
11,"FEB190932D ","CONAN THE BARBARIAN #5",3.99,1.7955,19.75,1,1,"MARVEL COMICS"
4,"FEB190934D ","CONAN THE BARBARIAN #5 GUICE ASGARDIAN VAR",3.99,1.7955,7.18,1,1,"MARVEL COMICS"
9,"FEB190895D ","COSMIC GHOST RIDER DESTROYS MARVEL HISTORY #2 (OF 6)",3.99,1.7955,16.16,1,1,"MARVEL COMICS"
9,"FEB190896D ","COSMIC GHOST RIDER DESTROYS MARVEL HISTORY #2 (OF 6) MARTIN",3.99,1.7955,16.16,1,1,"MARVEL COMICS"
1,"FEB190035D ","CURSE WORDS SPRING HAS SPRUNG SPEC CVR A BROWNE (ONE-SHOT) (",3.99,1.9950,2.00,1,1,"IMAGE COMICS"
1,"FEB190036D ","CURSE WORDS SPRING HAS SPRUNG SPEC CVR B NORTON (ONE-SHOT) (",3.99,1.9950,2.00,1,1,"IMAGE COMICS"
12,"FEB190930D ","DEADPOOL #11",3.99,1.7955,21.55,1,1,"MARVEL COMICS"
3,"FEB190931D ","DEADPOOL #11 NAKAYAMA ASGARDIAN VAR",3.99,1.7955,5.39,1,1,"MARVEL COMICS"
8,"FEB190464D ","DEATHSTROKE #42 TERMINUS AGENDA",3.99,1.7955,14.36,1,1,"DC COMICS"
1,"FEB190464D ","DEATHSTROKE #42 TERMINUS AGENDA",3.99,1.7955,1.80,1,3,"DC COMICS"
4,"FEB190465D ","DEATHSTROKE #42 VAR ED TERMINUS AGENDA",3.99,1.7955,7.18,1,1,"DC COMICS"
6,"FEB190138D ","DIE #5 CVR A HANS (MR)",3.99,1.9950,11.97,1,1,"IMAGE COMICS"
3,"FEB190139D ","DIE #5 CVR B MACK (MR)",3.99,1.9950,5.99,1,1,"IMAGE COMICS"
1,"FEB190337V ","DISNEY CLASSICS MOBY DICK STARRING DONALD DUCK (O/A) (C: 1-0",10.99,5.4950,5.50,3,1,"DARK HORSE COMICS"
1,"FEB190338V ","DISNEY CLASSICS TREASURE ISLAND STARRING MICKEY MOUSE (O/A)",10.99,5.4950,5.50,3,1,"DARK HORSE COMICS"
1,"FEB190340D ","DISNEY FROZEN REUNION ROAD #2 CVR A RUSSO",3.99,1.9950,2.00,1,1,"DARK HORSE COMICS"
1,"FEB190341D ","DISNEY FROZEN REUNION ROAD #2 CVR B DICATALDO",3.99,1.9950,2.00,1,1,"DARK HORSE COMICS"
2,"DEC180410V ","DISNEY PIXAR TOY STORY ADVENTURES TP VOL 01 (C: 1-1-2)",10.99,5.4950,10.99,3,1,"DARK HORSE COMICS"
6,"FEB190919D ","DOMINO HOTSHOTS #2 (OF 5)",3.99,1.7955,10.77,1,1,"MARVEL COMICS"
12,"FEB190495D ","DREAMING #8 (MR)",3.99,1.7955,21.55,1,1,"DC COMICS"
2,"FEB190140D ","ECLIPSE #14",3.99,1.9950,3.99,1,1,"IMAGE COMICS"
4,"DEC188845J ","FCBD 2019 BLASTOSAURUS RETAILER INC (NET)",.00,.0000,.00,1,1,"GOLDEN APPLE BOOKS"
5,"FEB190501D ","FEMALE FURIES #3 (OF 6)",3.99,1.7955,8.98,1,1,"DC COMICS"
1,"JAN192663I ","FUNKO 5 STAR FORTNITE SERIES 1 MOONWALKER VINYL FIGURE (SEP1",10.99,7.1435,7.14,10,1,""
1,"JAN192664I ","FUNKO 5 STAR FORTNITE SERIES 1 OMEGA VINYL FIGURE (SEP188460",10.99,7.1435,7.14,10,1,""
1,"JAN192666I ","FUNKO 5 STAR FORTNITE SERIES 1 ZOEY VINYL FIGURE (SEP188462)",10.99,7.1435,7.14,10,1,""
2,"FEB190143D ","GASOLINA #17 (MR)",3.99,1.9950,3.99,1,1,"IMAGE COMICS"
4,"FEB190638E ","GHOSTBUSTERS 35TH ANNIV GHOSTBUSTERS SCHOENING",3.99,1.9950,7.98,1,1,"IDW PUBLISHING"
3,"NOV180689E ","GI JOE A REAL AMERICAN HERO #260 CVR A JOSEPH (C: 1-0-0)",3.99,1.9950,5.99,1,1,"IDW PUBLISHING"
1,"NOV180690E ","GI JOE A REAL AMERICAN HERO #260 CVR B ROYLE (C: 1-0-0)",3.99,1.9950,2.00,1,1,"IDW PUBLISHING"
3,"FEB190266D ","GIRL IN THE BAY #3 (MR)",3.99,1.9950,5.99,1,1,"DARK HORSE COMICS"
15,"FEB190504D ","GREEN LANTERN #6",3.99,1.7955,26.93,1,1,"DC COMICS"
6,"FEB190505D ","GREEN LANTERN #6 VAR ED",3.99,1.7955,10.77,1,1,"DC COMICS"
1,"DEC182169F ","GRIMM FAIRY TALES 2019 GIANT SIZE #1 CVR B WHITE",5.99,3.4742,3.47,1,2,"ZENESCOPE ENTERTAINMENT INC"
1,"FEB190368D ","HALO LONE WOLF #4 (OF 4)",3.99,1.9950,2.00,1,1,"DARK HORSE COMICS"
15,"FEB190506D ","HARLEY QUINN #60",3.99,1.7955,26.93,1,1,"DC COMICS"
10,"FEB190507D ","HARLEY QUINN #60 VAR ED",3.99,1.7955,17.96,1,1,"DC COMICS"
1,"SEP180265D ","HELLBOY AND BPRD 1956 #1 (OF 5)",3.99,1.9950,2.00,1,2,"DARK HORSE COMICS"
1,"DEC180423U ","HELLBOY MAGNET 4-PACK (C: 0-1-2)",9.99,5.9940,5.99,10,1,""
1,"JAN190491U ","HELLBOY PUZZLE (C: 0-1-2)",19.99,11.9940,11.99,8,1,""
2,"JAN198539J ","HELLBOY UMBRELLA ACADEMY PROMO FRT CREDIT (NET)",.03,.0350,.07,30,5,""
3,"FEB192094F ","HELLCHILD BLOOD MONEY #1 (OF 4) CVR A MASTRAZZO",3.99,2.1945,6.58,1,1,"ZENESCOPE ENTERTAINMENT INC"
15,"FEB190849D ","IMMORTAL HULK #16",3.99,1.7955,26.93,1,1,"MARVEL COMICS"
3,"FEB190851D ","IMMORTAL HULK #16 MCKONE ASGARDIAN VAR",3.99,1.7955,5.39,1,1,"MARVEL COMICS"
1,"JAN192185E ","INCURSION #2 (OF 4) CVR A BRAITHWAITE",3.99,1.6958,1.70,1,2,"VALIANT ENTERTAINMENT LLC"
1,"OCT181005D ","INFINITY BY STARLIN & HICKMAN OMNIBUS HC",125.00,56.2500,56.25,3,1,"MARVEL COMICS"
1,"OCT181005D ","INFINITY BY STARLIN & HICKMAN OMNIBUS HC",125.00,56.2500,56.25,3,3,"MARVEL COMICS"
1,"OCT181002D ","INFINITY WAR OMNIBUS HC",125.00,56.2500,56.25,3,1,"MARVEL COMICS"
2,"FEB191252E ","JIM HENSON STORYTELLER SIRENS #1 MAIN CVR",3.99,1.9950,3.99,1,1,"BOOM! STUDIOS"
2,"FEB191253E ","JIM HENSON STORYTELLER SIRENS #1 PREORDER REBELKA VAR",3.99,1.9950,3.99,1,1,"BOOM! STUDIOS"
20,"FEB190512D ","JUSTICE LEAGUE #21",3.99,1.7955,35.91,1,1,"DC COMICS"
15,"FEB190513D ","JUSTICE LEAGUE #21 VAR ED",3.99,1.7955,26.93,1,1,"DC COMICS"
1,"JAN191794F ","LADY DEATH APOCALYPTIC ABYSS #2 (OF 2) STANDARD COVER (MR)",4.99,2.7445,2.74,1,1,"COFFIN COMICS"
1,"JAN191795F ","LADY DEATH APOCALYPTIC ABYSS #2 (OF 2) VIOLET VAR COVER (MR)",4.99,2.7445,2.74,1,1,"COFFIN COMICS"
1,"FEB191842F ","LIFE ON EARTH YA GN BOOK 02 GRAVITYS PULL (C: 0-1-0)",11.99,6.5945,6.59,3,1,"LERNER PUBLISHING GROUP"
1,"FEB190352D ","LIGHTSTEP #5 (OF 5)",3.99,1.9950,2.00,1,1,"DARK HORSE COMICS"
1,"DEC188896J ","MAD CAVE BATTLECATS 2019 FRT CREDIT (NET)",.05,.0500,.05,30,5,""
4,"OCT180694E ","MAGIC THE GATHERING CHANDRA #2 TOLIBAO CVR",3.99,1.9950,7.98,1,1,"IDW PUBLISHING"
15,"FEB190818D ","MAJOR X #1 (OF 6)",4.99,2.2455,33.68,1,1,"MARVEL COMICS"
4,"NOV180605E ","MARVEL ACTION BLACK PANTHER #1 SAMU",3.99,1.9950,7.98,1,1,"IDW PUBLISHING"
2,"SEP182793G ","MARVEL DEADPOOL SWORD 5PK SHORT COMIC STORAGE BOX (C: 1-1-2)",64.95,34.0988,68.20,12,1,""
1,"JAN190895J ","MARVEL GRAPHIC COMIC BOXES WAR OF REALMS (BUNDLE OF 5) (NET)",25.00,25.0000,25.00,12,1,""
10,"FEB190840D ","MARVEL TEAM-UP #1",3.99,1.7955,17.96,1,1,"MARVEL COMICS"
5,"FEB190840D ","MARVEL TEAM-UP #1",3.99,.0000,.00,1,3,"MARVEL COMICS"
2,"JAN191118D ","MARVEL UNIVERSE TP THE END",19.99,8.9955,17.99,3,1,"MARVEL COMICS"
1,"DEC181030D ","MARVELS AVENGERS TP ENDGAME PRELUDE",14.99,6.7455,6.75,3,1,"MARVEL COMICS"
2,"FEB190042D ","MIRROR #10 (RES)",5.99,2.9950,5.99,1,1,"IMAGE COMICS"
4,"FEB190974D ","MSH ADVENTURES SPIDER-MAN WEB DESIGNERS #1",3.99,1.7955,7.18,1,1,"MARVEL COMICS"
1,"JAN190817E ","MY LITTLE PONY FRIENDSHIP IS MAGIC TP VOL 16 (C: 1-1-2)",17.99,8.9950,9.00,3,1,"IDW PUBLISHING"
1,"DEC182368F ","MY MONSTER SECRET GN VOL 15 (C: 0-1-0)",12.99,7.1445,7.14,3,1,"SEVEN SEAS ENTERTAINMENT LLC"
1,"FEB191348E ","OBERON #3",3.99,1.9950,2.00,1,1,"AFTERSHOCK COMICS"
8,"FEB190175D ","PAPER GIRLS #27",3.99,1.9950,15.96,1,1,"IMAGE COMICS"
1,"JAN192687I ","POCKET POP FORTNITE S1A BRITE BOMBER FIG KEYCHAIN (SEP188476",5.99,3.8935,3.89,10,1,""
1,"DEC182674I ","POP ANIMATION FULLMETAL ALCHEMIST S1 WINRY ROCKBELL VIN FIG",10.99,7.1435,7.14,10,1,""
1,"FEB192615I ","POP MARVEL CAPTAIN MARVEL GOOSE THE CAT REGULAR VINYL FIG (O",10.99,7.1435,7.14,10,1,""
1,"JAN192753I ","POP MOVIE MOMENT HARRY POTTER S5 RON & CHESS PIECE VIN FIG (",27.99,18.1935,18.19,10,1,""
1,"JAN192754I ","POP MOVIE MOMENT MARVEL THOR VS THANOS VINYL FIGURE (SEP1888",25.00,16.2500,16.25,10,1,""
1,"JAN190689D ","POWERS TP BOOK 04 NEW EDITION (MR)",29.99,13.4955,13.50,3,1,"DC COMICS"
1,"DEC982455J ","PREVIEWS ARTWORK DOWNLOAD",100.00,100.0000,100.00,13,5,""
1,"OCT180018D ","PRODIGY #1 (OF 6) CVR A ALBUQUERQUE (MR)",3.99,1.9950,2.00,1,2,"IMAGE COMICS"
1,"JAN198250J ","PROMO POSTER MERA TIDEBREAKER (NET)",.00,.0000,.00,13,1,""
1,"JAN198251J ","PROMO POSTER SUPER SONS POLARSHIELD (NET)",.00,.0000,.00,13,1,""
1,"JAN198252J ","PROMO POSTER UNDER THE MOON A CATWOMAN TALE (NET)",.00,.0000,.00,13,1,""
15,"FEB190901D ","PUNISHER #10",3.99,1.7955,26.93,1,1,"MARVEL COMICS"
1,"FEB191133E ","RED SONJA #3 CVR A CONNER",3.99,1.9950,2.00,1,1,"DYNAMITE"
1,"FEB191134E ","RED SONJA #3 CVR B LINSNER",3.99,1.9950,2.00,1,1,"DYNAMITE"
